city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Plainedge,Plainedge,NY,New York,36059,Nassau,40.7241,-73.4770,9428,2592.8,shape,FALSE,FALSE,America/New_York,2,11714 11735,1840005249
Alma,Alma,MI,Michigan,26057,Gratiot,43.3799,-84.6556,9426,617.7,shape,FALSE,TRUE,America/Detroit,3,48801,1840002879
Country Club Estates,Country Club Estates,GA,Georgia,13127,Glynn,31.2113,-81.4622,9423,785.8,shape,FALSE,FALSE,America/New_York,3,31525,1840029452
Diamondhead,Diamondhead,MS,Mississippi,28045,Hancock,30.3791,-89.3707,9417,359.7,shape,FALSE,TRUE,America/Chicago,3,39525,1840013106
Greenville,Greenville,NY,New York,36119,Westchester,40.9986,-73.8189,9417,1390.2,shape,FALSE,FALSE,America/New_York,3,10583 10530,1840133415
Havre,Havre,MT,Montana,30041,Hill,48.5427,-109.6804,9417,980.3,shape,FALSE,TRUE,America/Denver,3,59501,1840019758
Bethalto,Bethalto,IL,Illinois,17119,Madison,38.9015,-90.0466,9414,478.8,shape,FALSE,TRUE,America/Chicago,3,62010 62018,1840012789
Sandy Hook,Sandy Hook,CT,Connecticut,9190,Western Connecticut,41.4128,-73.2440,9406,226.1,shape,FALSE,FALSE,America/New_York,3,6482,1840044711
Bridge City,Bridge City,TX,Texas,48361,Orange,30.0298,-93.8406,9405,564.1,shape,FALSE,TRUE,America/Chicago,3,77611 77630,1840019609
Madeira,Madeira,OH,Ohio,39061,Hamilton,39.1856,-84.3734,9397,1082.6,shape,FALSE,TRUE,America/New_York,3,45243,1840001605
St. Stephens,St. Stephens,NC,North Carolina,37035,Catawba,35.7642,-81.2746,9396,390.2,shape,FALSE,FALSE,America/New_York,3,28613 28601,1840033023
Columbia City,Columbia City,IN,Indiana,18183,Whitley,41.1612,-85.4855,9390,660.4,shape,FALSE,TRUE,America/Indiana/Indianapolis,3,46725,1840007140
Denham Springs,Denham Springs,LA,Louisiana,22063,Livingston,30.4743,-90.9593,9389,495.0,shape,FALSE,TRUE,America/Chicago,3,70726,1840015027
Chesapeake Ranch Estates,Chesapeake Ranch Estates,MD,Maryland,24009,Calvert,38.3574,-76.4147,9387,839.2,shape,FALSE,FALSE,America/New_York,3,20657,1840026723
Countryside,Countryside,VA,Virginia,51107,Loudoun,39.0518,-77.4124,9384,1411.2,shape,FALSE,FALSE,America/New_York,3,20165,1840024500
University of Virginia,University of Virginia,VA,Virginia,51003,Albemarle,38.0405,-78.5164,9384,2032.7,shape,FALSE,FALSE,America/New_York,2,22903 22904,1840140574
Rochelle,Rochelle,IL,Illinois,17141,Ogle,41.9197,-89.0629,9380,265.3,shape,FALSE,TRUE,America/Chicago,3,61068,1840009179
Anaconda,Anaconda,MT,Montana,30023,Deer Lodge,46.0608,-113.0678,9380,4.9,shape,FALSE,TRUE,America/Denver,4,59722 59756 59762 59711,1840074775
West Glens Falls,West Glens Falls,NY,New York,36113,Warren,43.3057,-73.6964,9379,544.7,shape,FALSE,FALSE,America/New_York,3,12804,1840004184
Manhattan,Manhattan,IL,Illinois,17197,Will,41.4274,-87.9805,9366,543.1,shape,FALSE,TRUE,America/Chicago,3,60442,1840011490
Mound,Mound,MN,Minnesota,27053,Hennepin,44.9328,-93.6591,9365,1263.9,shape,FALSE,TRUE,America/Chicago,3,55364,1840007828
Warren,Warren,PA,Pennsylvania,42123,Warren,41.8434,-79.1444,9363,1241.9,shape,FALSE,TRUE,America/New_York,3,16365 16366 16367 16368 16369,1840003334
Heath,Heath,TX,Texas,48397,Rockwall,32.8439,-96.4674,9362,292.5,shape,FALSE,TRUE,America/Chicago,3,75032 75126,1840020716
Marina del Rey,Marina del Rey,CA,California,6037,Los Angeles,33.9765,-118.4486,9355,4211.4,shape,FALSE,FALSE,America/Los_Angeles,2,90292,1840017920
Florence,Florence,OR,Oregon,41039,Lane,43.9916,-124.1063,9353,652.7,shape,FALSE,TRUE,America/Los_Angeles,3,97439,1840020008
Green Cove Springs,Green Cove Springs,FL,Florida,12019,Clay,29.9904,-81.6807,9351,429.1,shape,FALSE,TRUE,America/New_York,3,32043,1840013999
Crestline,Crestline,CA,California,6071,San Bernardino,34.2486,-117.2887,9350,259.6,shape,FALSE,FALSE,America/Los_Angeles,3,92391 92407 92322 92325,1840017796
Haiku-Pauwela,Haiku-Pauwela,HI,Hawaii,15009,Maui,20.9156,-156.3022,9347,228.7,shape,FALSE,TRUE,Pacific/Honolulu,3,96708,1840074990
Riverside,Riverside,IL,Illinois,17031,Cook,41.8310,-87.8169,9346,1824.0,shape,FALSE,TRUE,America/Chicago,3,60546,1840011287
Merrill,Merrill,WI,Wisconsin,55069,Lincoln,45.1820,-89.6994,9344,482.0,shape,FALSE,TRUE,America/Chicago,3,54452,1840001562
Hillsborough,Hillsborough,NC,North Carolina,37135,Orange,36.0679,-79.0991,9342,644.8,shape,FALSE,TRUE,America/New_York,3,27278,1840016151
Fort Stewart,Fort Stewart,GA,Georgia,13179,Liberty,31.8811,-81.6131,9340,325.9,shape,TRUE,TRUE,America/New_York,3,31315 31314,1840073839
Evergreen,Evergreen,CO,Colorado,8059,Jefferson,39.6349,-105.3356,9338,312.9,shape,FALSE,FALSE,America/Denver,3,80439 80437,1840017539
Willow Street,Willow Street,PA,Pennsylvania,42071,Lancaster,39.9810,-76.2706,9338,659.9,shape,FALSE,FALSE,America/New_York,3,17584 17602,1840005494
Sangaree,Sangaree,SC,South Carolina,45015,Berkeley,33.0327,-80.1253,9336,1774.4,shape,FALSE,FALSE,America/New_York,3,29486,1840035792
Ventnor City,Ventnor City,NJ,New Jersey,34001,Atlantic,39.3457,-74.4860,9333,1843.0,shape,FALSE,TRUE,America/New_York,3,8406,1840001539
